gene_id	name	ko_flux	dependency_score	essential
b0972	hyaA	0.9865144469529723	0.0	nonessential
b4478	dgoD	0.9865144469529723	0.0	nonessential
b3127	garP	0.986514446952974	0.0	nonessential
b1603	pntA	0.9865144469529595	0.0	nonessential
b4356	lgoT	0.986514446952974	0.0	nonessential
b3739	atpI	0.9865144469529716	0.0	nonessential
b3691	dgoT	0.9865144469529723	0.0	nonessential
b3028	mdaB	0.9865144469529646	0.0	nonessential
b2997	hybO	0.9865144469529723	0.0	nonessential
b0756	galM	0.9865144469529626	0.0	nonessential
b1134	nudJ	0.986514446952968	0.0	nonessential
b1637	tyrS	0.9865144469529754	0.0	nonessential
b4267	idnD	0.9865144469529723	0.0	nonessential
b0451	amtB	0.9865144469529723	0.0	nonessential
b2518	ndk	0.9865144469529723	0.0	nonessential
b0757	galK	0.9865144469529723	0.0	nonessential
b0019	nhaA	0.9865144469529723	0.0	nonessential
b3962	sthA	0.9865144469529723	0.0	nonessential
b4015	aceA	0.9865144469529751	0.0	nonessential
b3709	tnaB	0.9865144469529736	0.0	nonessential
b4067	actP	0.9865144469529856	0.0	nonessential
b0446	cof	0.9865144469529609	0.0	nonessential
b1623	add	0.9865144469529609	0.0	nonessential
b2995	hybB	0.9865144469529739	0.0	nonessential
b0593	entC	0.9865144469529723	0.0	nonessential
b1186	nhaB	0.9865144469529723	0.0	nonessential
b0931	pncB	0.9865144469529723	0.0	nonessential
b3128	garD	0.9865144469529724	0.0	nonessential
b2917	scpA	0.9865144469529699	0.0	nonessential
b1012	rutA	0.9865144469529725	0.0	nonessential
b3599	mtlA	0.9865144469529699	0.0	nonessential
b3831	udp	0.9865144469529725	0.0	nonessential
b1395	paaH	0.9865144469529699	0.0	nonessential
b2167	fruA	0.9865144469529699	0.0	nonessential
b1854	pykA	0.9865144469529725	0.0	nonessential
b4322	uxuA	0.9865144469529765	0.0	nonessential
b2169	fruB	0.986514446952973	0.0	nonessential
b1857	znuA	0.9865144469529725	0.0	nonessential
b0353	mhpT	0.9865144469529733	0.0	nonessential
b1232	purU	0.9865144469529903	0.0	nonessential
b0126	can	0.9865144469529903	0.0	nonessential
b0855	potG	0.9865144469529725	0.0	nonessential
b0261	mmuM	0.9865144469529903	0.0	nonessential
b1859	znuB	0.9865144469529725	0.0	nonessential
b1676	pykF	0.9865144469529725	0.0	nonessential
b2801	fucP	0.9865144469529818	0.0	nonessential
b3917	sbp	0.986514446952971	0.0	nonessential
b1858	znuC	0.9865144469529725	0.0	nonessential
b3826	yigL	0.9865144469529725	0.0	nonessential
b1611	fumC	0.9865144469529826	0.0	nonessential
b1636	pdxY	0.9865144469529725	0.0	nonessential
b4031	xylE	0.9865144469529725	0.0	nonessential
b0764	modB	0.9865144469529757	0.0	nonessential
b1612	fumA	0.986514446952971	0.0	nonessential
b2502	ppx	0.9865144469529736	0.0	nonessential
b0339	cynT	0.9865144469529903	0.0	nonessential
b1193	emtA	0.9865144469529699	0.0	nonessential
b2883	guaD	0.9865144469529699	0.0	nonessential
b4152	frdC	0.9865144469529699	0.0	nonessential
b0125	hpt	0.9865144469529699	0.0	nonessential
b4153	frdB	0.9865144469529699	0.0	nonessential
b4151	frdD	0.9865144469529699	0.0	nonessential
b0238	gpt	0.9865144469529699	0.0	nonessential
b4032	malG	0.9865144469529712	0.0	nonessential
b2558	mltF	0.9865144469529699	0.0	nonessential
b2168	fruK	0.9865144469529699	0.0	nonessential
b2813	mltA	0.9865144469529699	0.0	nonessential
b3092	uxaC	0.9865144469529699	0.0	nonessential
b3371	frlB	0.9865144469529699	0.0	nonessential
b1007	rutF	0.9865144469529725	0.0	nonessential
b4392	slt	0.9865144469529699	0.0	nonessential
b2701	mltB	0.9865144469529699	0.0	nonessential
b2963	mltC	0.9865144469529699	0.0	nonessential
b4474	frlC	0.9865144469529699	0.0	nonessential
b1692	ydiB	0.9865144469529725	0.0	nonessential
b0957	ompA	0.9865144469529699	0.0	nonessential
b3374	frlD	0.9865144469529699	0.0	nonessential
b2919	scpB	0.9865144469529699	0.0	nonessential
b3370	frlA	0.9865144469529699	0.0	nonessential
b1319	ompG	0.9865144469529699	0.0	nonessential
b4321	gntP	0.9865144469529699	0.0	nonessential
b0875	aqpZ	0.9865144469529699	0.0	nonessential
b3029	ygiN	0.9865144469529725	0.0	nonessential
b0260	mmuP	0.9865144469529699	0.0	nonessential
b3875	ompL	0.9865144469529699	0.0	nonessential
b0112	aroP	0.9865144469529679	0.0	nonessential
b3565	xylA	0.9865144469529725	0.0	nonessential
b1126	potA	0.9865144469529725	0.0	nonessential
b1008	rutE	0.9865144469529886	0.0	nonessential
b0349	mhpC	0.9865144469529767	0.0	nonessential
b4055	aphA	0.9865144469529767	0.0	nonessential
b2882	xanQ	0.9865144469529725	0.0	nonessential
b4041	plsB	0.9865144469529777	0.0	nonessential
b4485	ytfR	0.9865144469529723	0.0	nonessential
b2418	pdxK	0.9865144469529668	0.0	nonessential
b4197	ulaE	0.9865144469529725	0.0	nonessential
