gene_id	name	dependency_score	essential	wt_biomass	ko_biomass
b1264	trpE	1.0	True	0.9823718127269785	0.0
b0776	bioF	1.0	True	0.9823718127269785	0.0
b0910	cmk	0.0022459383617650405	False	0.9823718127269785	0.9801654661872583
b3603	lldP	1.3561745281065517e-15	False	0.9823718127269785	0.9823718127269772
b0103	coaE	1.0	True	0.9823718127269785	-4.4854894098994724e-13
b2975	glcA	0.0	False	0.9823718127269785	0.982371812726983
b0049	apaH	3.7294799522930175e-15	False	0.9823718127269785	0.9823718127269748
b4129	lysU	3.7294799522930175e-15	False	0.9823718127269785	0.9823718127269748
b3774	ilvC	1.0	True	0.9823718127269785	0.0
b0121	speE	0.0	False	0.9823718127269785	0.9823718127269827
b3059	plsY	3.7294799522930175e-15	False	0.9823718127269785	0.9823718127269748
b1189	dadA	0.0	False	0.9823718127269785	0.9823718127269785
b4042	dgkA	0.0	False	0.9823718127269785	0.9823718127269785
b2871	ygeX	0.0	False	0.9823718127269785	0.9823718127269785
b0425	panE	0.0	False	0.9823718127269785	0.9823718127269785
b2838	lysA	1.0	True	0.9823718127269785	-1.0993846592890863e-15
b0968	yccX	6.780872640532758e-15	False	0.9823718127269785	0.9823718127269718
b4381	deoC	0.0	False	0.9823718127269785	0.9823718127269785
b0414	ribD	1.0	True	0.9823718127269785	-1.0993846592890863e-15
b0062	araA	0.0	False	0.9823718127269785	0.9823718127269876
b3809	dapF	1.0	True	0.9823718127269785	-1.0993846592890863e-15
b1185	dsbB	0.0	False	0.9823718127269785	0.982371812726993
b0175	cdsA	1.0	True	0.9823718127269785	0.0
b3041	ribB	1.0	True	0.9823718127269785	0.0
b0778	bioD	1.0	True	0.9823718127269785	0.0
b0152	fhuD	1.9212472481509482e-15	False	0.9823718127269785	0.9823718127269766
b0153	fhuB	0.0	False	0.9823718127269785	0.9823718127269785
b0151	fhuC	0.0	False	0.9823718127269785	0.9823718127269785
b3860	dsbA	0.0	False	0.9823718127269785	0.9823718127269785
b2893	dsbC	0.0	False	0.9823718127269785	0.9823718127269785
b3722	bglF	0.0	False	0.9823718127269785	0.9823718127269785
b1734	chbF	0.0	False	0.9823718127269785	0.9823718127269785
b2582	trxC	0.0	False	0.9823718127269785	0.9823718127269785
b2065	dcd	0.0	False	0.9823718127269785	0.9823718127269785
b2344	fadL	0.0	False	0.9823718127269785	0.9823718127269785
b2715	ascF	0.0	False	0.9823718127269785	0.9823718127269785
