b_number	gene_name	ppi_degree	ppi_betweenness	ppi_eigen	met_degree	met_betweenness	met_eigen	fba_dep_full	fba_dep_ltee	ppi_degree_norm	ppi_eigen_norm	ppi_betweenness_norm	met_degree_norm	met_eigen_norm	fba_dep_ltee_norm	composite_integration	ppi_composite	met_composite
b3503	arsC	11	6.811016713048869e-05	2.7450817284399523e-05	115	9.735466919298311e-05	0.017524123085131984	0.0	0.0	0.021153846153846155	0.00037352178383516667	0.0012100849424047367	0.22645290581162322	0.30555334671748674	0.0	0.11070672409335827	0.01076368396884066	0.26600312626455497
b1064	grxB	29	0.0003533483649198443	7.641753545686576e-05	243	0.0010074470550219437	0.03056016394663233	0.0	0.0	0.05576923076923077	0.0010398092655826724	0.006277793078875533	0.48296593186372744	0.5336204024862264	0.0	0.21467907487695345	0.02840452001740672	0.508293167174977
b1747	astA	19	8.017546338915173e-05	0.0008413852562868202	167	0.0006498055907924419	0.020035261898275144	0.0	0.0	0.03653846153846154	0.01144868360620603	0.001424444030678429	0.3306613226452905	0.3494860132245058	0.0	0.14562689620289276	0.023993572572333786	0.3400736679348981
b1539	ydfG	53	0.0023459906861727823	0.0002502120015306369	175	0.0004480624526378661	0.021922637226197285	0.0	0.0	0.10192307692307692	0.0034046211513638486	0.041680238413167314	0.34669338677354705	0.38250586478396315	0.0	0.1669053899263902	0.052663849037220385	0.3645996257787551
b1748	astC	40	0.0002734039060427601	0.0009918782478040113	64	1.9072652021433213e-05	0.006867903740033736	0.0	0.0	0.07692307692307693	0.013496433589888219	0.004857453209050871	0.12424849699398796	0.11912154602867443	0.0	0.06675791070712551	0.045209755256482576	0.1216850215113312
b1090	plsX	97	0.00029236536225814633	0.0005124776855023516	172	0.0006816439858372367	0.022563263094052016	0.0	0.0	0.18653846153846154	0.006973256106780545	0.005194333496076837	0.34068136272545085	0.3937136890830124	0.0	0.18558135389074107	0.09675585882262104	0.3671975259042316
b3475	acpT	29	0.00037969761417604896	0.0020890720614543607	169	0.0006219511163206848	0.020086119610114705	0.0	0.0	0.05576923076923077	0.028425890379522475	0.006745929204683534	0.33466933867735466	0.3503757748266375	0.0	0.15384804693054907	0.04209756057437662	0.34252255675199605
b2836	aas	100	0.002524493325635433	0.0004600902094216391	198	0.0011067968154647688	0.02982852528613566	0.0097988602004175	0.0105206903152623	0.19230769230769232	0.0062604225574708705	0.04485162038583853	0.3927855711422845	0.5208202987615703	0.0105206903152623	0.22453893501685612	0.09928405743258159	0.4568029349519274
b2563	acpS	25	0.00017632101544400787	0.00011298108653112553	170	0.000774198533175386	0.018942936344028636	0.0	2.4863199681953447e-15	0.04807692307692308	0.0015373275244786383	0.0031326219683110636	0.3366733466933867	0.33037565021285703	2.4863199681953447e-15	0.1433326495015296	0.02480712530070086	0.3335244984531219
b3553	ghrB	51	0.0010965649898394471	9.539313324321697e-05	223	0.000840176387756288	0.027790049442308947	0.0	0.0	0.09807692307692309	0.0012980091967929022	0.01948221298636237	0.4428857715430861	0.485156926047675	0.0	0.20548352597289546	0.049687466136858	0.4640213487953806
b2578	eamB	10	5.026861326184412e-05	8.940697400962653e-06	23	4.089305450456057e-06	0.00306298100054419	0.0	0.0	0.019230769230769232	0.00012165558523592279	0.000893101493455228	0.04208416833667335	0.05255397878625063	0.0	0.02279811438778583	0.009676212408002578	0.04731907356146199
b1533	eamA	15	0.00010785276168643895	3.926679397357814e-05	23	4.081126839555145e-06	0.00306298100054419	0.0	0.0	0.028846153846153848	0.0005343011385979474	0.0019161750500991594	0.04208416833667335	0.05255397878625063	0.0	0.024803720421535152	0.014690227492375897	0.04731907356146199
b2019	hisG	37	0.0001724716953689346	0.00012964851596431742	97	4.6954774478732304e-05	0.013101270587188303	1.0	0.9999999999999994	0.07115384615384615	0.0017641203339361063	0.003064232703424686	0.19038076152304606	0.2281750262579007	0.9999999999999994	0.2982947508537457	0.03645898324389113	0.20927789389047338
b1134	nudJ	34	0.000426588742484674	5.163851539848511e-05	221	0.0003541621567568812	0.03171351230166602	0.0	0.0	0.06538461538461539	0.0007026424818762477	0.007579024331141324	0.438877755511022	0.5537983665170924	0.0	0.21175267597892117	0.03304362893324582	0.4963380610140572
b3735	atpH	154	0.0012192998055136342	0.000903050191643023	380	0.0020309368077073603	0.053977889084638124	0.5918670499221611	0.5903004379029563	0.29615384615384616	0.012287755041336635	0.021662791284924078	0.7575150300601202	0.9433162358891222	0.5903004379029563	0.5199146610094763	0.15422080059759138	0.8504156329746212
