gene_id	name	dependency_score	essential	retained
b3599	mtlA	0	nonessential	0
b3831	udp	0	nonessential	0
b1395	paaH	0	nonessential	0
b2167	fruA	0	nonessential	0
b1854	pykA	0	nonessential	0
b4322	uxuA	0	nonessential	0
b2169	fruB	0	nonessential	0
b1857	znuA	0	nonessential	0
b0353	mhpT	0	nonessential	0
b1232	purU	0	nonessential	0
b0126	can	0	nonessential	0
b0855	potG	0	nonessential	0
b0261	mmuM	0	nonessential	0
b1859	znuB	0	nonessential	1
b1676	pykF	0	nonessential	0
b2801	fucP	0	nonessential	0
b3917	sbp	0	nonessential	0
b1858	znuC	0	nonessential	1
b3826	yigL	0	nonessential	1
b1611	fumC	0	nonessential	0
b1636	pdxY	0	nonessential	0
b4031	xylE	0	nonessential	0
b0764	modB	0	nonessential	0
b1612	fumA	0	nonessential	0
b2502	ppx	0	nonessential	0
b0339	cynT	0	nonessential	0
b1193	emtA	0	nonessential	1
b2883	guaD	0	nonessential	0
b4152	frdC	0	nonessential	0
b0125	hpt	0	nonessential	1
b4153	frdB	0	nonessential	0
b4151	frdD	0	nonessential	0
b0238	gpt	0	nonessential	1
b4032	malG	0	nonessential	0
b2558	mltF	0	nonessential	0
b2168	fruK	0	nonessential	0
b2813	mltA	0	nonessential	1
b3092	uxaC	0	nonessential	0
b3371	frlB	0	nonessential	0
b1007	rutF	0	nonessential	0
b4392	slt	0	nonessential	0
b2701	mltB	0	nonessential	0
b2963	mltC	0	nonessential	0
b4474	frlC	0	nonessential	0
b1692	ydiB	0	nonessential	0
b0957	ompA	0	nonessential	0
b3374	frlD	0	nonessential	0
b2919	scpB	0	nonessential	0
b3370	frlA	0	nonessential	0
b1319	ompG	0	nonessential	0
b4321	gntP	0	nonessential	0
b0875	aqpZ	0	nonessential	0
b3029	ygiN	0	nonessential	0
b0260	mmuP	0	nonessential	0
b3875	ompL	0	nonessential	0
b0112	aroP	0	nonessential	0
b3565	xylA	0	nonessential	0
b1126	potA	0	nonessential	0
b1008	rutE	0	nonessential	0
b0349	mhpC	0	nonessential	0
b4055	aphA	0	nonessential	0
b2882	xanQ	0	nonessential	0
b4041	plsB	0	nonessential	0
b4485	ytfR	0	nonessential	0
b2418	pdxK	0	nonessential	0
b4197	ulaE	0	nonessential	0
b1059	solA	0	nonessential	0
b3451	ugpE	0	nonessential	0
b0621	dcuC	0	nonessential	0
b3824	rhtB	0	nonessential	0
b3450	ugpC	0	nonessential	0
b0813	rhtA	0	nonessential	0
b0352	mhpE	0	nonessential	0
b2411	ligA	0	nonessential	1
b3452	ugpA	0	nonessential	0
b1109	ndh	0	nonessential	0
b3453	ugpB	0	nonessential	0
b0118	acnB	0	nonessential	0
b0347	mhpA	0	nonessential	0
b0508	hyi	0	nonessential	0
b3665	adeD	0	nonessential	0
b3426	glpD	0	nonessential	0
b0954	fabA	0	nonessential	0
b3996	nudC	0	nonessential	0
b0509	glxR	0	nonessential	0
b3568	xylH	0	nonessential	0
b2407	xapA	0	nonessential	0
b2423	cysW	0	nonessential	0
b0765	modC	0	nonessential	0
b3566	xylF	0	nonessential	0
b2424	cysU	0	nonessential	0
b2425	cysP	0	nonessential	0
b2104	thiM	0	nonessential	0
b1002	agp	0	nonessential	0
b1296	puuP	0	nonessential	0
b2388	glk	0	nonessential	0
b3567	xylG	0	nonessential	0
b2309	hisJ	0	nonessential	0
b2422	cysA	0	nonessential	0
b3789	rffH	0	nonessential	0
b3125	garR	0	nonessential	0
b0394	mak	0	nonessential	0
b2039	rfbA	0	nonessential	0
b1125	potB	0	nonessential	0
b3577	yiaM	0	nonessential	0
b1440	ydcS	0	nonessential	0
b0655	gltI	0	nonessential	0
b0854	potF	0	nonessential	0
b2519	pbpC	0	nonessential	0
b3579	yiaO	0	nonessential	0
b2514	hisS	0	nonessential	1
b2533	suhB	0	nonessential	0
b0763	modA	0	nonessential	0
b3390	aroK	0	nonessential	1
b1106	thiK	0	nonessential	0
b0388	aroL	0	nonessential	0
b2253	arnB	0	nonessential	0
b3493	pitA	0	nonessential	0
b1388	paaA	0	nonessential	0
b1981	shiA	0	nonessential	0
b1389	paaB	0	nonessential	0
b1392	paaE	0	nonessential	0
b1584	speG	0	nonessential	0
b1390	paaC	0	nonessential	0
b1600	mdtJ	0	nonessential	0
b1391	paaD	0	nonessential	0
b2943	galP	0	nonessential	0
b3908	sodA	0	nonessential	0
b1398	paaK	0	nonessential	0
b1656	sodB	0	nonessential	0
b1646	sodC	0	nonessential	0
b1525	sad	0	nonessential	0
b2255	arnA	0	nonessential	0
b2028	ugd	0	nonessential	0
b1473	yddG	0	nonessential	0
b1278	pgpB	0	nonessential	0
b2661	gabD	0	nonessential	0
b2036	glf	0	nonessential	0
b0383	phoA	0	nonessential	0
b0759	galE	0	nonessential	0
b1702	ppsA	0	nonessential	0
b1599	mdtI	0	nonessential	0
b4233	mpl	0	nonessential	0
b2797	sdaB	0	nonessential	0
b0613	citG	0	nonessential	0
b1814	sdaA	0	nonessential	0
b0893	serS	0	nonessential	1
b0350	mhpD	0	nonessential	0
b3116	tdcC	0	nonessential	0
b1207	prs	0	nonessential	0
b2796	sdaC	0	nonessential	0
b3726	pstA	0	nonessential	0
b3089	sstT	0	nonessential	0
b2965	speC	0	nonessential	0
b0355	frmB	0	nonessential	0
b2154	yeiG	0	nonessential	0
b3281	aroE	0	nonessential	1
b2258	arnF	0	nonessential	0
b0693	speF	0	nonessential	0
b3725	pstB	0	nonessential	0
b1744	astE	0	nonessential	0
b0194	proS	0	nonessential	0
b1746	astD	0	nonessential	0
b0505	allA	0	nonessential	0
b2373	oxc	0	nonessential	0
b1387	paaZ	0	nonessential	0
b3403	pck	0	nonessential	0
b1394	paaG	0	nonessential	0
b2987	pitB	0	nonessential	0
b0758	galT	0	nonessential	0
b1014	putA	0	nonessential	0
b4544	arnE	0	nonessential	0
b3952	pflC	0	nonessential	0
b2096	gatY	0	nonessential	0
b2197	ccmE	0	nonessential	0
b2199	ccmC	0	nonessential	0
b2480	bcp	0	nonessential	0
b3380	yhfW	0	nonessential	0
b0068	thiB	0	nonessential	0
b0066	thiQ	0	nonessential	0
b0067	thiP	0	nonessential	0
b3385	gph	0	nonessential	0
b3616	tdh	0	nonessential	0
b3772	ilvA	0	nonessential	0
b4395	ytjC	0	nonessential	0
b1489	dosP	0	nonessential	0
b0755	gpmA	0	nonessential	1
b3612	gpmM	0	nonessential	0
b1719	thrS	0	nonessential	1
b4383	deoB	0	nonessential	0
b3823	rhtC	0	nonessential	0
b2690	yqaB	0	nonessential	0
b2935	tktA	0	nonessential	0
b0688	pgm	0	nonessential	0
b0418	pgpA	0	nonessential	0
b2201	ccmA	0	nonessential	0
b3786	wecB	0	nonessential	0
b2920	scpC	0	nonessential	0
b2198	ccmD	0	nonessential	0
b2200	ccmB	0	nonessential	0
b3117	tdcB	0	nonessential	0
b0997	torA	0	nonessential	0
b2536	hcaT	0	nonessential	0
b1521	uxaB	0	nonessential	0
b0841	ybjG	0	nonessential	0
b1638	pdxH	0	nonessential	0
b3057	bacA	0	nonessential	0
b2464	talA	0	nonessential	0
b0996	torC	0	nonessential	0
b0576	pheP	0	nonessential	0
b0008	talB	0	nonessential	0
b3062	ttdB	0	nonessential	0
b3061	ttdA	0	nonessential	0
b3063	ttdT	0	nonessential	0
b0368	tauD	0	nonessential	0
b2095	gatZ	0	nonessential	0
b3790	wecD	0	nonessential	0
b3791	wecE	0	nonessential	0
b1714	pheS	0	nonessential	1
b1713	pheT	0	nonessential	1
b3546	eptB	0	nonessential	0
b3787	wecC	0	nonessential	0
b2041	rfbB	0	nonessential	0
b3916	pfkA	0	nonessential	1
b3788	rffG	0	nonessential	0
b1723	pfkB	0	nonessential	0
b2465	tktB	0	nonessential	0
b3951	pflD	0	nonessential	0
b3137	kbaY	0	nonessential	0
b3132	kbaZ	0	nonessential	0
b0766	ybhA	0	nonessential	0
b3258	panF	0	nonessential	0
